customer_id,is_pass,is_loan,is_overdue,age,live_state,cont_list_no,ap_pd24h,ap_pd30d,ap_long3d,ap_long90d,ap_al,ap_dd_1lo,ap_dd_lalo,ap_dd_1lo_1ap,cd_score,cd_open_acct,cd_ovdu_acct,cd_ovdu_amt,cd_tot_bal,cd_enq_tot60d,cd_enq_org30d,gender_v_Male,education_v_12th,education_v_Below 10th,education_v_Doctorate/PhD,education_v_Graduation/Diploma,education_v_Masters/Post-Graduation,"mon_salary_v_100,000-200,000","mon_salary_v_15,000-20,000","mon_salary_v_20,000-30,000","mon_salary_v_200,000-500,000","mon_salary_v_30,000-50,000","mon_salary_v_50,000-100,000","mon_salary_v_<10,000","mon_salary_v_>=500,000",marriage_v_Single,marriage_v_Widowed,residence_type_v_Other,residence_type_v_PG,residence_type_v_Rent,employ_stat_v_Self-employed,employ_stat_v_Student,employ_stat_v_Unemployed,occupation_v_Clerical support workers,occupation_v_Craft and related trades workers,occupation_v_Elementary occupations,occupation_v_Managers,"occupation_v_Plant and machine operators, and assemblers",occupation_v_Professional,"occupation_v_Skilled agricultural, forestry and fishery workers",occupation_v_Technicians and associate prefessionals,cont1_rel_v_Friend,cont1_rel_v_Mother,cont1_rel_v_Sibling,cont1_rel_v_Spouse,cont2_rel_v_Mother,cont2_rel_v_Spouse
L1022001027901060553514876928,0,0,0,27,10010000,272,0.0,4.0,3.0,4.0,359.0,72.0,1.0,3970.0,602.0,5.0,1.0,9031.0,18112.0,0.0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0
L1022001217907897037836976128,1,1,0,23,10110000,191,1.0,3.0,1.0,3.0,288.0,38.0,0.0,18252.0,6.0,1.0,0.0,0.0,69730.0,0.0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
L1022001047901676104204746752,0,0,0,27,10270000,764,1.0,6.0,0.0,5.0,299.0,12.0,0.0,18273.0,583.0,2.0,1.0,3534.0,121435.0,0.0,0.0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0
L1022001237908545826398601216,0,0,0,29,10200000,77,2.0,4.0,1.0,3.0,318.0,77.0,0.0,18204.0,582.3666622,3.74749499,0.783767535,14360.87081,193834.4737,0.0,0.0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0
L1022001227908197688877973504,0,0,0,30,10280000,369,0.0,1.0,0.0,0.0,288.0,348.0,20.0,274.0,586.0,11.0,4.0,18315.0,683206.0,0.0,0.0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
L1022001207907534819341565952,0,0,0,31,10280000,418,0.0,3.0,0.0,7.0,323.0,114.0,4.0,3928.0,746.0,3.0,0.0,0.0,91562.0,0.0,0.0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0
L1022001237908628857306152960,0,0,0,28,10200000,154,2.0,3.0,2.0,3.0,332.0,106.0,0.0,3940.0,582.3666622,3.74749499,0.783767535,14360.87081,193834.4737,0.0,0.0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
L1022001277910159922365661184,0,0,0,31,10150000,394,0.0,1.0,1.0,2.0,314.0,484.0,0.0,17795.0,633.0,6.0,3.0,6886.0,6886.0,0.0,0.0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
L1022001287910455428211998720,1,0,0,28,10010000,203,1.0,5.0,0.0,3.0,298.0,21.0,0.0,18261.0,6.0,1.0,0.0,0.0,5565.0,1.0,1.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0
L1022001117904374540860456960,1,0,0,28,10280000,175,3.0,6.0,0.0,1.0,326.0,30.0,0.0,4005.0,6.0,1.0,0.0,0.0,74300.0,0.0,0.0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
